,F,V_inn,V_ut,phase,dB
101,2100.000000000001,5.1,4.8,12.77,-0.5265787744469831
102,2200.000000000001,5.1,4.9,13.82,-0.3474819213884528
103,2300.0000000000014,5.1,4.9,14.98,-0.3474819213884528
104,2400.0000000000014,5.1,4.9,15.22,-0.3474819213884528
105,2500.0000000000014,5.1,4.9,16.68,-0.3474819213884528
106,2600.0000000000014,5.1,4.9,16.54,-0.3474819213884528
107,2700.0000000000014,5.1,4.8,15.81,-0.5265787744469831
108,2800.000000000002,5.1,4.8,16.74,-0.5265787744469831
109,2900.000000000002,5.1,4.8,17.05,-0.5265787744469831
110,3000.000000000002,5.1,4.8,18.33,-0.5265787744469831
111,3100.000000000002,5.1,4.8,18.38,-0.5265787744469831
112,3200.000000000002,5.1,4.8,19.22,-0.5265787744469831
113,3300.000000000002,5.1,4.7,20.48,-0.7094463632443775
114,3400.0000000000023,5.1,4.7,20.92,-0.7094463632443775
115,3500.0000000000023,5.1,4.7,21.58,-0.7094463632443775
116,3600.0000000000023,5.1,4.7,22.21,-0.7094463632443775
117,3700.0000000000023,5.1,4.7,22.6,-0.7094463632443775
118,3800.0000000000023,5.1,4.7,21.07,-0.7094463632443775
119,3900.0000000000027,5.1,4.7,21.78,-0.7094463632443775
120,4000.0000000000027,5.1,4.7,22.96,-0.7094463632443775
121,4100.000000000004,5.1,4.7,23.4,-0.7094463632443775
122,4200.000000000003,5.1,4.6,24.69,-0.8962468883272456
123,4300.000000000003,5.1,4.6,25.21,-0.8962468883272456
124,4400.000000000003,5.1,4.6,26.16,-0.8962468883272456
125,4500.000000000004,5.1,4.6,26.51,-0.8962468883272456
126,4600.000000000004,5.1,4.6,26.89,-0.8962468883272456
127,4700.000000000003,5.1,4.5,27.78,-1.087153246451853
128,4800.000000000004,5.1,4.5,27.8,-1.087153246451853
129,4900.000000000004,5.1,4.5,27.29,-1.087153246451853
130,5000.000000000004,5.1,4.5,28.49,-1.087153246451853
131,5100.000000000004,5.1,4.5,28.54,-1.087153246451853
132,5200.000000000004,5.1,4.4,29.95,-1.282349992234977
133,5300.000000000005,5.1,4.4,30.25,-1.282349992234977
134,5400.000000000004,5.1,4.4,31.05,-1.282349992234977
135,5500.000000000004,5.1,4.4,31.3,-1.282349992234977
136,5600.000000000004,5.1,4.4,31.52,-1.282349992234977
137,5700.000000000005,5.1,4.4,32.4,-1.282349992234977
138,5800.000000000005,5.1,4.3,31.58,-1.482034410366997
139,5900.000000000004,5.1,4.3,32.1,-1.482034410366997
140,6000.000000000005,5.1,4.3,33.59,-1.482034410366997
141,6100.000000000005,5.1,4.3,33.34,-1.482034410366997
142,6200.000000000005,5.1,4.3,33.84,-1.482034410366997
143,6300.000000000005,5.1,4.3,34.16,-1.482034410366997
144,6400.000000000005,5.1,4.3,34.98,-1.482034410366997
145,6500.0000000000055,5.1,4.2,32.99,-1.6864177140007173
146,6600.000000000005,5.1,4.2,34.85,-1.6864177140007173
147,6700.000000000005,5.1,4.2,35.49,-1.6864177140007173
148,6800.0000000000055,5.1,4.2,35.0,-1.6864177140007173
149,6900.0000000000055,5.1,4.1,35.38,-1.8957263875640171
150,7000.0000000000055,5.1,4.1,37.5,-1.8957263875640171
151,7100.000000000005,5.1,4.1,37.2,-1.8957263875640171
152,7200.0000000000055,5.1,4.0,36.02,-2.1102036953994787
153,7300.000000000006,5.1,4.0,36.67,-2.1102036953994787
154,7400.0000000000055,5.1,4.0,37.8,-2.1102036953994787
155,7500.0000000000055,5.1,4.0,37.92,-2.1102036953994787
156,7600.0000000000055,5.1,3.9,38.81,-2.3301113814287424
157,7700.000000000006,5.1,3.9,38.95,-2.3301113814287424
158,7800.000000000006,5.1,3.9,40.54,-2.3301113814287424
159,7900.0000000000055,5.1,3.9,40.7,-2.3301113814287424
160,8000.000000000007,5.1,3.9,38.97,-2.3301113814287424
161,8100.000000000006,5.1,3.78,40.43,-2.60156752521422
162,8200.000000000007,5.1,3.78,40.24,-2.60156752521422
163,8300.000000000005,5.1,3.74,40.59,-2.6939714779491233
164,8400.000000000005,5.1,3.7,41.52,-2.787369040618826
165,8500.000000000007,5.1,3.7,41.3,-2.787369040618826
166,8600.000000000007,5.1,3.7,41.66,-2.787369040618826
167,8700.000000000007,5.1,3.7,41.91,-2.787369040618826
168,8800.000000000007,5.1,3.62,41.75,-2.9772321112954128
169,8900.000000000007,5.1,3.62,42.83,-2.9772321112954128
170,9000.000000000007,5.1,3.62,43.1,-2.9772321112954128
171,9100.000000000007,5.1,3.62,43.54,-2.9772321112954128
172,9200.000000000007,5.1,3.62,44.83,-2.9772321112954128
173,9300.000000000007,5.1,3.54,43.84,-3.17133828144297
174,9400.000000000007,5.1,3.54,44.21,-3.17133828144297
175,9500.000000000007,5.1,3.54,44.4,-3.17133828144297
176,9600.00000000001,5.1,3.54,44.89,-3.17133828144297
177,9700.000000000007,5.1,3.46,45.3,-3.3698815461031946
178,9800.000000000007,5.1,3.46,45.58,-3.3698815461031946
179,9900.000000000007,5.1,3.46,45.65,-3.3698815461031946
180,10000.0,5.1,3.46,45.91,-3.3698815461031946
181,11000.0,5.1,3.3,48.33,-3.781124724400977
182,12000.000000000002,5.1,3.14,51.25,-4.212810560494428
183,13000.000000000002,5.1,2.97,52.39,-4.69627453561448
184,14000.000000000004,5.1,2.81,55.14,-5.177277123857129
185,15000.000000000004,5.1,2.73,57.18,-5.428150581143607
186,16000.000000000005,5.1,2.57,58.87,-5.952741055332837
187,17000.000000000007,5.1,2.49,59.54,-6.2274165800439985
188,18000.000000000007,5.1,2.37,61.37,-6.656436601756649
189,19000.000000000007,5.1,2.29,63.25,-6.954693875160967
190,20000.000000000007,5.1,2.17,63.93,-7.422208844988136
191,21000.00000000001,5.1,2.09,64.97,-7.748477799737648
192,22000.00000000001,5.1,2.05,65.81,-7.916326300843641
193,23000.00000000001,5.1,1.97,67.1,-8.262078998726869
194,24000.00000000001,5.1,1.85,67.56,-8.80796895389845
195,25000.000000000015,5.1,1.81,68.33,-8.997832024575036
196,26000.000000000015,5.1,1.73,70.23,-9.39048145938282
197,27000.000000000015,5.1,1.69,69.13,-9.593669429685256
198,28000.000000000015,5.1,1.65,70.34,-9.801724637680602
199,29000.00000000002,5.1,1.61,71.43,-10.014886001321733
200,30000.00000000002,5.1,1.53,72.43,-10.45757490560675
201,31000.00000000002,5.1,1.49,72.11,-10.687678153713247
202,32000.00000000002,5.1,1.47,71.65,-10.805056826995205
203,33000.00000000002,5.1,1.43,74.33,-11.04468277265749
204,34000.00000000002,5.1,1.41,73.26,-11.16702126885113
205,35000.00000000002,5.1,1.37,74.24,-11.41699217883059
206,36000.00000000002,5.1,1.33,74.15,-11.674370702617011
207,37000.00000000002,5.1,1.29,74.54,-11.939609315973748
